net,length_um
in29,10.32µm
in3,10.32µm
in34,10.32µm
in48,10.32µm
in50,10.32µm
in51,10.32µm
in56,10.32µm
in60,10.32µm
net302,10.32µm
net760,10.32µm
net463,10.28µm
clknet_1_1__leaf_net141,10.28µm
net695,10.27µm
net468,10.2µm
net173,10.16µm
net698,10.13µm
clknet_1_1__leaf_net275,10.08µm
net551,10.06µm
net301,9.94µm
net187,9.86µm
net548,9.78µm
clknet_1_0__leaf_net618,9.72µm
net497,9.7µm
clknet_1_0__leaf_net619,9.66µm
clknet_1_1__leaf_net606,9.66µm
net857,9.58µm
net588,9.54µm
clknet_1_1__leaf_net245,9.54µm
net182,9.48µm
net99,9.48µm
in23,9.4µm
in28,9.4µm
in36,9.4µm
in42,9.4µm
in43,9.4µm
in49,9.4µm
net154,9.4µm
net211,9.4µm
net459,9.4µm
net634,9.4µm
net547,9.32µm
in8,9.31µm
clknet_1_0__leaf_net521,9.24µm
net624,9.2µm
clknet_1_1__leaf_net577,9.12µm
in22,9.07µm
net542,9.06µm
out33,9.06µm
out4,9.06µm
out42,9.06µm
out49,9.06µm
out60,9.06µm
net608,8.985µm
net596,8.94µm
net391,8.86µm
net1067,8.86µm
net216,8.805µm
