net,length_um
in51,8.84µm
in57,8.84µm
in9,8.84µm
net299,8.8µm
net740,8.8µm
net543,8.78µm
in5,8.73µm
in7,8.73µm
in8,8.73µm
clknet_1_0__leaf_net345,8.725µm
in36,8.72µm
in47,8.72µm
in53,8.72µm
in54,8.72µm
in55,8.72µm
in56,8.72µm
out11,8.72µm
out19,8.72µm
out3,8.72µm
clknet_1_0__leaf_net720,8.71µm
net980,8.7µm
net365,8.68µm
net58,8.64µm
net716,8.6µm
clknet_1_0__leaf_net674,8.53µm
net555,8.5µm
out15,8.5µm
out16,8.5µm
out18,8.5µm
out24,8.5µm
out25,8.5µm
out28,8.5µm
out31,8.5µm
out34,8.5µm
out38,8.5µm
out45,8.5µm
out47,8.5µm
out5,8.5µm
out50,8.5µm
out51,8.5µm
out54,8.5µm
out58,8.5µm
net975,8.5µm
net937,8.44µm
net634,8.44µm
net78,8.42µm
net618,8.4µm
clknet_1_0__leaf_net611,8.4µm
in59,8.39µm
in52,8.38µm
net283,8.32µm
net517,8.32µm
clknet_1_1__leaf_net703,8.26µm
net345,8.24µm
net223,8.21µm
clknet_1_1__leaf_net228,8.16µm
clknet_1_0__leaf_net545,8.16µm
net96,8.1µm
net458,8.06µm
out12,8.04µm
out23,8.04µm
out52,8.04µm
out53,8.04µm
clknet_1_0__leaf_net440,8.03µm
net88,8.02µm
clknet_1_0__leaf_net577,8.02µm
net244,7.99µm
net29,7.98µm
net631,7.98µm
clknet_1_1__leaf_net471,7.98µm
net1030,7.98µm
net314,7.96µm
net415,7.96µm
clknet_1_0__leaf_net461,7.92µm
net428,7.82µm
clknet_1_0__leaf_net582,7.8µm
net149,7.78µm
net319,7.78µm
net478,7.72µm
in17,7.69µm
in38,7.69µm
in40,7.69µm
net30,7.68µm
net947,7.68µm
net38,7.66µm
net496,7.64µm
net750,7.64µm
net753,7.64µm
net994,7.6µm
net1007,7.6µm
clknet_1_1__leaf_net341,7.56µm
net507,7.48µm
net418,7.42µm
net554,7.42µm
net332,7.4µm
net962,7.38µm
in10,7.35µm
net393,7.34µm
net489,7.3µm
net509,7.28µm
in29,7.25µm
net414,7.22µm
net601,7.18µm
net986,7.18µm
net898,7.14µm
clknet_1_1__leaf_net758,7.14µm
net9,7.12µm
net539,7.1µm
in19,7.03µm
in25,7.03µm
net491,6.9µm
net674,6.88µm
clknet_1_1__leaf_net487,6.88µm
net322,6.86µm
net346,6.84µm
clknet_1_1__leaf_net465,6.76µm
net968,6.76µm
net645,6.75µm
net765,6.74µm
in32,6.69µm
in0,6.67µm
in41,6.67µm
net756,6.66µm
net955,6.66µm
in4,6.65µm
net988,6.64µm
in35,6.55µm
net245,6.54µm
net895,6.52µm
in2,6.43µm
net295,6.4µm
in6,6.38µm
net563,6.36µm
net578,6.36µm
in43,6.33µm
net1029,6.32µm
clknet_1_1__leaf_net688,6.31µm
net652,6.3µm
net484,6.265µm
net136,6.26µm
net638,6.26µm
net495,6.225µm
net172,6.2µm
net624,6.12µm
net506,6.08µm
net447,6.06µm
net783,6.04µm
net825,5.94µm
in15,5.92µm
in3,5.92µm
net954,5.91µm
net51,5.86µm
net1012,5.84µm
net662,5.82µm
net1021,5.82µm
net436,5.8µm
net505,5.8µm
clknet_1_1__leaf_net674,5.8µm
net625,5.78µm
net967,5.76µm
out2,5.75µm
out22,5.75µm
out26,5.75µm
out7,5.75µm
net1024,5.74µm
net628,5.72µm
net640,5.72µm
clknet_1_1__leaf_net859,5.72µm
in14,5.65µm
net550,5.6µm
net569,5.58µm
net310,5.56µm
net611,5.5µm
net1009,5.46µm
out17,5.41µm
out55,5.41µm
net166,5.4µm
net642,5.38µm
net744,5.38µm
net171,5.36µm
net664,5.36µm
net355,5.35µm
net501,5.34µm
net572,5.34µm
in1,5.31µm
out44,5.29µm
net732,5.26µm
net754,5.22µm
net480,5.17µm
net483,5.14µm
net60,5.14µm
clknet_1_0__leaf_net586,5.14µm
net524,5.1µm
net585,5.1µm
net999,5.1µm
out1,5.07µm
out29,5.07µm
out33,5.07µm
out36,5.07µm
out39,5.07µm
net559,5.06µm
net983,5.06µm
net617,5.04µm
net938,5µm
net941,5µm
net626,4.955µm
net448,4.92µm
clknet_1_0__leaf_net687,4.88µm
net956,4.78µm
net875,4.76µm
net939,4.76µm
clknet_1_1__leaf_net339,4.76µm
out32,4.73µm
out43,4.73µm
out59,4.73µm
net289,4.71µm
net623,4.7µm
out14,4.61µm
net417,4.6µm
net176,4.58µm
net140,4.57µm
net139,4.46µm
net635,4.46µm
net953,4.43µm
net164,4.42µm
net235,4.42µm
net604,4.42µm
net995,4.42µm
out0,4.39µm
out10,4.39µm
out30,4.39µm
out42,4.39µm
out56,4.39µm
out61,4.39µm
out8,4.39µm
net553,4.34µm
net724,4.34µm
net758,4.34µm
net837,4.34µm
out35,4.27µm
clknet_1_1__leaf_net582,4.24µm
net404,4.22µm
net528,4.2µm
net329,4.165µm
net286,4.12µm
net894,4.12µm
net445,4.1µm
net241,4.01µm
net371,4µm
net537,4µm
net651,4µm
net1011,4µm
net1013,4µm
out13,3.93µm
net705,3.88µm
net381,3.86µm
net173,3.78µm
clknet_1_0__leaf_net562,3.78µm
net328,3.705µm
net156,3.68µm
net34,3.68µm
net564,3.68µm
net335,3.56µm
net477,3.56µm
net608,3.545µm
net331,3.54µm
net525,3.54µm
net57,3.54µm
net598,3.54µm
net636,3.54µm
net377,3.525µm
net342,3.45µm
net462,3.44µm
net111,3.42µm
net287,3.42µm
net605,3.42µm
net654,3.42µm
clknet_1_0__leaf_net574,3.42µm
net497,3.22µm
net561,3.22µm
net589,3.2µm
net936,3.18µm
net168,3.08µm
net374,3.06µm
clknet_1_0__leaf_net318,3.01µm
net632,2.98µm
net294,2.96µm
net687,2.96µm
net978,2.96µm
net174,2.86µm
net456,2.86µm
net945,2.84µm
net466,2.84µm
net120,2.76µm
net942,2.76µm
net952,2.76µm
net586,2.74µm
net643,2.74µm
net548,2.67µm
net126,2.62µm
net229,2.62µm
net357,2.62µm
clknet_1_1__leaf_net577,2.62µm
net996,2.62µm
net616,2.545µm
net494,2.54µm
net541,2.525µm
net259,2.5µm
clknet_1_1__leaf_net345,2.5µm
net603,2.44µm
net255,2.4µm
net997,2.4µm
net449,2.38µm
clknet_1_1__leaf_net741,2.38µm
net992,2.38µm
net943,2.285µm
net607,2.28µm
net737,2.28µm
net949,2.27µm
net169,2.16µm
net416,2.16µm
net42,2.16µm
net944,2.16µm
net950,2.16µm
net376,2.04µm
net430,2.04µm
net704,2.04µm
net435,1.84µm
net1020,1.84µm
net254,1.82µm
net940,1.82µm
net157,1.77µm
net630,1.77µm
net351,1.72µm
net688,1.72µm
net490,1.7µm
net53,1.7µm
net584,1.7µm
net881,1.7µm
net1019,1.7µm
net482,1.685µm
net290,1.48µm
net948,1.38µm
