net,length_um
clknet_0_net799,16.32µm
clknet_0_net797,16.32µm
net171,16.3µm
net371,16.3µm
clknet_1_0__leaf_net498,16.3µm
net692,16.26µm
clknet_1_1__leaf_net469,16.14µm
net522,16.1µm
net66,16.08µm
net194,16.06µm
clknet_1_0__leaf_net54,16.03µm
net474,16.02µm
clknet_0_net48,15.98µm
net33,15.95µm
net309,15.88µm
net597,15.8µm
clknet_1_1__leaf_net937,15.76µm
net366,15.7µm
net230,15.62µm
net406,15.56µm
net259,15.48µm
clknet_1_1__leaf_net617,15.46µm
net819,15.44µm
net11,15.4µm
clknet_1_1__leaf_net595,15.4µm
clknet_1_0__leaf_net562,15.4µm
net167,15.38µm
net269,15.38µm
net538,15.35µm
net236,15.34µm
net611,15.34µm
clknet_1_0__leaf_net188,15.34µm
net63,15.3µm
net500,15.26µm
clknet_0_net245,15.22µm
net1027,15.18µm
net356,15.12µm
clknet_1_1__leaf_net67,15.06µm
net649,14.99µm
net1135,14.96µm
net858,14.86µm
clknet_1_1__leaf_net185,14.76µm
in61,14.66µm
clknet_1_1__leaf_net852,14.6µm
net82,14.48µm
net430,14.42µm
net320,14.4µm
net511,14.4µm
net537,14.3µm
net635,14.22µm
net81,14.22µm
net188,14.12µm
net175,13.98µm
net1124,13.86µm
clknet_1_1__leaf_net947,13.84µm
net568,13.8µm
clknet_1_1__leaf_net972,13.76µm
net271,13.72µm
net242,13.68µm
clknet_1_1__leaf_net560,13.62µm
net74,13.61µm
net48,13.6µm
clknet_1_0__leaf_net606,13.6µm
clknet_1_1__leaf_net52,13.58µm
net599,13.57µm
clknet_0_net461,13.54µm
net351,13.42µm
net501,13.42µm
net647,13.42µm
net306,13.32µm
clknet_1_0__leaf_net522,13.205µm
net192,13.2µm
net408,13.14µm
net225,13.04µm
clknet_1_0__leaf_net181,13.02µm
net277,13.005µm
net739,12.945µm
net177,12.94µm
clknet_1_1__leaf_net273,12.94µm
clknet_1_1__leaf_net275,12.92µm
net360,12.88µm
clknet_1_1__leaf_net562,12.87µm
in20,12.75µm
clknet_1_0__leaf_net171,12.74µm
out29,12.63µm
out38,12.63µm
