net,length_um
net473,10.02µm
net409,9.98µm
out38,9.98µm
net689,9.94µm
net52,9.92µm
net457,9.88µm
net30,9.74µm
net802,9.71µm
net334,9.685µm
out58,9.64µm
net557,9.61µm
net1102,9.56µm
net469,9.54µm
clknet_1_1__leaf_net245,9.54µm
in20,9.52µm
in28,9.52µm
in7,9.52µm
net489,9.5µm
net656,9.5µm
net841,9.5µm
net528,9.48µm
net686,9.48µm
net822,9.44µm
net693,9.43µm
net1020,9.42µm
in15,9.4µm
in22,9.4µm
in23,9.4µm
in26,9.4µm
in31,9.4µm
in32,9.4µm
in33,9.4µm
in37,9.4µm
in39,9.4µm
in46,9.4µm
in49,9.4µm
in51,9.4µm
in52,9.4µm
in53,9.4µm
in55,9.4µm
in60,9.4µm
in8,9.4µm
clknet_1_0__leaf_net473,9.4µm
net559,9.36µm
net577,9.32µm
clknet_1_0__leaf_net623,9.26µm
net647,9.2µm
clknet_1_0__leaf_net532,9.12µm
net484,9.1µm
net1080,9.07µm
out51,9.06µm
out54,9.06µm
net210,9.05µm
net757,9.03µm
net750,9.01µm
net514,9µm
net521,8.98µm
net731,8.98µm
net431,8.94µm
net654,8.94µm
net742,8.94µm
net848,8.94µm
clknet_1_0__leaf_net159,8.87µm
net747,8.785µm
clknet_1_0__leaf_net349,8.78µm
net525,8.74µm
in25,8.72µm
in43,8.72µm
in6,8.72µm
in9,8.63µm
net713,8.61µm
net651,8.56µm
net544,8.52µm
net1067,8.52µm
net479,8.5µm
net504,8.5µm
out19,8.5µm
out2,8.5µm
out43,8.5µm
out6,8.5µm
net150,8.48µm
net629,8.46µm
net509,8.44µm
net638,8.44µm
net125,8.42µm
net178,8.4µm
net260,8.36µm
net483,8.325µm
net608,8.265µm
net799,8.18µm
net220,8.14µm
net459,8.14µm
net914,8.06µm
out3,8.04µm
net394,8.02µm
net679,8.02µm
net1018,8.02µm
net1034,8µm
net126,7.95µm
net368,7.94µm
net421,7.94µm
clknet_1_0__leaf_net304,7.92µm
net738,7.9µm
net269,7.815µm
net1078,7.76µm
net659,7.73µm
in17,7.71µm
net539,7.7µm
in1,7.69µm
net43,7.665µm
net237,7.64µm
net535,7.64µm
net769,7.64µm
clknet_1_1__leaf_net984,7.64µm
net610,7.605µm
net607,7.6µm
net620,7.6µm
net1066,7.6µm
net636,7.56µm
net688,7.56µm
net267,7.52µm
net744,7.52µm
net232,7.5µm
in21,7.47µm
net501,7.44µm
net129,7.42µm
net285,7.4µm
clknet_1_1__leaf_net309,7.4µm
in35,7.37µm
net664,7.36µm
in12,7.35µm
net202,7.32µm
net779,7.28µm
net658,7.2µm
net379,7.18µm
net729,7.18µm
net299,7.1µm
net245,7.06µm
net687,7.06µm
clknet_1_0__leaf_net498,7.06µm
net1097,7.04µm
in4,7.03µm
in0,7.01µm
in30,7.01µm
net510,6.96µm
clknet_1_0__leaf_net519,6.94µm
net1088,6.92µm
out36,6.91µm
net507,6.88µm
net754,6.86µm
clknet_1_1__leaf_net591,6.8µm
in48,6.79µm
net11,6.78µm
net499,6.78µm
in11,6.77µm
net343,6.76µm
net588,6.76µm
net60,6.76µm
net663,6.76µm
in18,6.69µm
in19,6.67µm
