net,length_um
net639,14.82µm
net309,14.8µm
net969,14.76µm
clknet_1_0__leaf_net374,14.76µm
net328,14.74µm
net571,14.74µm
net194,14.68µm
net62,14.68µm
in13,14.66µm
in28,14.66µm
in4,14.66µm
net703,14.6µm
net199,14.54µm
clknet_0_net339,14.52µm
net644,14.46µm
net553,14.44µm
clknet_1_0__leaf_net530,14.42µm
net411,14.26µm
clknet_1_1__leaf_net576,14.26µm
net1101,14.26µm
out28,14.2µm
net598,14.18µm
net471,14.04µm
net523,14.04µm
net123,14µm
clknet_1_1__leaf_net147,14µm
clknet_1_0__leaf_net339,13.96µm
clknet_1_1__leaf_net919,13.96µm
net456,13.89µm
net489,13.88µm
net520,13.88µm
net655,13.84µm
net318,13.81µm
net893,13.8µm
in10,13.66µm
out48,13.66µm
in26,13.54µm
net482,13.445µm
net379,13.36µm
clknet_1_1__leaf_net367,13.27µm
net992,13.2µm
net526,13.12µm
net500,13.1µm
in1,13.08µm
net663,13.08µm
net610,13.06µm
net74,13.04µm
net968,13.04µm
clknet_1_0__leaf_net456,12.98µm
net327,12.96µm
clknet_1_0__leaf_net464,12.92µm
net884,12.86µm
net616,12.84µm
net640,12.84µm
clknet_0_net458,12.84µm
net423,12.74µm
net1085,12.7µm
net647,12.62µm
clknet_1_1__leaf_net258,12.62µm
net600,12.6µm
net251,12.58µm
net333,12.54µm
net667,12.39µm
net510,12.38µm
in33,12.36µm
out33,12.36µm
net142,12.34µm
net122,12.28µm
net664,12.28µm
net627,12.26µm
net351,12.18µm
net747,12.18µm
in38,12.16µm
clknet_1_0__leaf_net340,12.16µm
clknet_1_0__leaf_net586,12.12µm
net899,12.08µm
net702,12.03µm
clknet_0_net412,12µm
net378,11.96µm
net892,11.96µm
net681,11.92µm
net697,11.92µm
net727,11.9µm
clknet_1_1__leaf_net276,11.9µm
net741,11.81µm
net691,11.66µm
net956,11.66µm
net119,11.62µm
net237,11.58µm
net392,11.58µm
net731,11.5µm
net657,11.48µm
out45,11.48µm
in49,11.44µm
net345,11.42µm
net506,11.38µm
net764,11.38µm
net894,11.36µm
clknet_1_0__leaf_net267,11.32µm
clknet_1_1__leaf_net267,11.32µm
net865,11.28µm
net529,11.24µm
net831,11.24µm
net1087,11.24µm
net944,11.16µm
in12,11.15µm
clknet_1_1__leaf_net830,11.13µm
net465,11.12µm
net566,11.12µm
net710,11.12µm
net785,11.07µm
net675,11.035µm
net1073,11µm
net661,11µm
net908,10.98µm
net1089,10.97µm
net1100,10.97µm
net56,10.96µm
net811,10.96µm
net669,10.9µm
clknet_0_net617,10.88µm
net850,10.86µm
net666,10.82µm
in44,10.78µm
net470,10.755µm
in8,10.68µm
net615,10.62µm
clknet_1_0__leaf_net371,10.62µm
net450,10.54µm
in24,10.45µm
net660,10.44µm
in30,10.4µm
clknet_1_1__leaf_net385,10.4µm
clknet_1_0__leaf_net333,10.36µm
net1105,10.325µm
in25,10.32µm
in27,10.32µm
in34,10.32µm
in36,10.32µm
in42,10.32µm
net346,10.32µm
net513,10.32µm
net203,10.28µm
net581,10.28µm
clknet_1_1__leaf_net289,10.28µm
clknet_1_1__leaf_net415,10.2µm
net75,10.14µm
net126,10.12µm
net352,10µm
net694,9.98µm
net910,9.96µm
net355,9.94µm
clknet_1_0__leaf_net235,9.94µm
net15,9.93µm
clknet_1_1__leaf_net992,9.84µm
net688,9.78µm
clknet_1_0__leaf_net919,9.78µm
net725,9.675µm
net699,9.66µm
out36,9.64µm
net373,9.62µm
clknet_1_0__leaf_net137,9.62µm
clknet_1_0__leaf_net828,9.56µm
net134,9.54µm
net784,9.54µm
in22,9.52µm
in48,9.52µm
in51,9.52µm
net540,9.48µm
clknet_1_1__leaf_net375,9.44µm
in0,9.4µm
in29,9.4µm
in32,9.4µm
in37,9.4µm
in43,9.4µm
in45,9.4µm
in46,9.4µm
net197,9.38µm
net375,9.32µm
net951,9.32µm
net541,9.3µm
net330,9.28µm
net93,9.28µm
clknet_1_0__leaf_net655,9.22µm
net586,9.14µm
net38,9.1µm
clknet_1_1__leaf_net474,9.075µm
in18,9.06µm
in40,9.06µm
out0,9.06µm
out39,9.06µm
out41,9.06µm
out51,9.06µm
clknet_1_1__leaf_net399,9.06µm
net472,9.02µm
net67,8.96µm
out15,8.96µm
net645,8.865µm
in2,8.84µm
in31,8.84µm
in35,8.84µm
in39,8.84µm
in6,8.83µm
net612,8.82µm
net304,8.78µm
net254,8.77µm
net325,8.76µm
net550,8.74µm
out50,8.72µm
in15,8.63µm
in5,8.63µm
clknet_1_1__leaf_net361,8.56µm
net605,8.52µm
net670,8.52µm
out12,8.5µm
out2,8.5µm
out5,8.5µm
out7,8.5µm
out9,8.5µm
clknet_1_1__leaf_net333,8.5µm
in16,8.49µm
in17,8.39µm
in41,8.39µm
clknet_1_1__leaf_net183,8.37µm
net208,8.36µm
net552,8.36µm
net922,8.36µm
net31,8.32µm
clknet_1_1__leaf_net582,8.32µm
net303,8.28µm
net479,8.16µm
net915,8.16µm
clknet_1_1__leaf_net456,8.16µm
net914,8.14µm
net569,8.12µm
net55,8.1µm
net742,8.08µm
net178,8.06µm
net719,8.06µm
net812,8.06µm
out4,8.04µm
out42,8.04µm
net77,8.025µm
net559,8.02µm
net622,8.02µm
net641,7.99µm
net35,7.98µm
clknet_1_0__leaf_net373,7.98µm
net140,7.96µm
net680,7.96µm
in14,7.95µm
net1084,7.94µm
net904,7.9µm
net927,7.9µm
net728,7.82µm
clknet_1_1__leaf_net616,7.82µm
clknet_1_1__leaf_net362,7.82µm
net515,7.775µm
net630,7.74µm
net799,7.74µm
net1064,7.74µm
in21,7.71µm
net356,7.7µm
net253,7.68µm
net408,7.66µm
net382,7.64µm
net546,7.615µm
net579,7.57µm
net206,7.56µm
net393,7.56µm
net620,7.52µm
net678,7.34µm
net768,7.34µm
net599,7.33µm
net1066,7.32µm
net709,7.27µm
net646,7.24µm
